Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лубенець,Борислав,Юрійович,Чоловіча,30.07.1976,Хімік,місто Гола Пристань,"проспект Думська, буд. 7, Ніжин, 38176",374 62 19,nestorpoltavets@example.org
Іщенко,Василь,Анатолійович,Чоловіча,27.03.1964,Співак,місто Кіцмань,"провулок Косовський, буд. 8 кв. 881, Жовква, 16554",+380 (90) 470-34-11,albert88@example.com
Франко,Йосип,Петрович,Чоловіча,17.12.1953,Епідеміолог,місто Турка,"шосе Рачкова, буд. 791, Семенівка, 92008",034 109 07 73,violettagerus@example.net
Юрченко,Єлисей,Юрійович,Чоловіча,25.05.1986,Реабілітолог,село Свалява,"набережна Суднобудівний, буд. 6 кв. 674, Саки , 33123",005 648 47 61,kpelekh@example.net
Пилипенко,Гаврило,Олександрович,Чоловіча,12.05.1952,Акушер,селище Сулимівка (Слов'янськ),"вулиця Базарна, буд. 3 кв. 085, Бровари, 31696",+380 06 515-65-41,zakhar81@example.com
Хоменко,Феофан,Олексійович,Чоловіча,25.07.1970,Стиліст,місто Городище ,"проспект Тимірязєва, буд. 460, Ічня, 48069",033 617 62 24,vitalii01@example.com
Оліфіренко,Борис,Вікторович,Чоловіча,30.12.1939,Ді-джей,село Звенигородка,"площа Леха Качинського, буд. 0 кв. 35, Євпаторія, 04085",031 784 28 17,skorobohatkotrokhym@example.org
Андрейко,Федір,Петрович,Чоловіча,16.11.1955,Машиніст,селище Устилуг,"вулиця Західний 4-й, буд. 172, Погребище, 42442",+380 64 529 95 28,balabanvalentyna@example.com
Василашко,Зорян,Юрійович,Чоловіча,26.01.1947,Музикознавець,село Татарбунари,"парк Наявний 6-й, буд. 0 кв. 15, Кам'янське, 91132",070 345 88 43,iaremchukonysym@example.org
Єсипенко,Болеслав,Іванович,Чоловіча,11.01.1962,Ріелтор,місто Каховка,"вулиця Наявний 5-й, буд. 5 кв. 208, Селидове, 29455",762-92-00,lsheremeta@example.org
Андріїшин,Нестор,Олександрович,Чоловіча,08.11.1965,Літературознавець,село Гребінка,"сквер Дністровська, буд. 4 кв. 3, Подільськ, 04024",+380 79 952-18-24,dotsenkolarysa@example.net
Чумак,Охрім,Іванович,Чоловіча,06.04.1951,Провізор,місто Берестечко,"узвіз Давида Ойстраха, буд. 64 кв. 7, Новий Розділ, 25652",001 741 34 63,vertyporokhborys@example.com
Короленко,Ярема,Олегович,Чоловіча,06.11.1972,Географ,місто Лисичанськ,"провулок Шкодова гора, буд. 53, Кілія, 32268",+380 15 262 16 79,devdiuktrokhym@example.net
Бабійчук,Зорян,Петрович,Чоловіча,31.05.2005,Астроном,селище Полтава,"вулиця Подільська, буд. 0 кв. 6, Сокаль, 70808",+380 25 977-92-53,btychyna@example.org
Токар,Леопольд,Іванович,Чоловіча,30.11.1957,Няня,село Белз,"набережна Михайлівська, буд. 31 кв. 32, Семенівка, 51979",+380 39 470-40-18,hoholstepan@example.org
Лупій,Арсен,Іванович,Чоловіча,03.02.1947,Психолог,місто Добропілля,"парк Карантинний узвіз, буд. 13 кв. 80, Монастирище, 35435",075 516 64 07,alla94@example.org
Колісниченко,Адам,Іванович,Чоловіча,21.04.1994,Палеонтолог,селище Дубно,"провулок Академіка Гаркавого, буд. 279 кв. 05, Охтирка, 76741",+380 58 792 90 29,onishchukhlib@example.org
Зінчук,Владислав,Петрович,Чоловіча,11.04.2001,Складальник,село Лиман ,"вулиця Офіцерський 2-й, буд. 55, Старобільськ, 47093",066 486 41 59,solomiia03@example.net
Мірошниченко,Святослав,Петрович,Чоловіча,04.05.1955,Мовознавець,місто Городище ,"вулиця Нескучна, буд. 234 кв. 5, Святогірськ, 93533",202-43-75,bohuslavavermenych@example.com
Атрощенко,Микита,Вікторович,Чоловіча,15.08.2003,Реставратор,місто Первомайськ,"проспект Полтавська, буд. 4 кв. 1, Львів, 50163",009 349-25-45,mykolai36@example.org
Івасюк,Макар,Анатолійович,Чоловіча,20.11.2006,Ріелтор,місто Бобровиця,"площа Черепанових 2-й, буд. 534, Новгород-Сіверський, 83702",606-02-47,liza72@example.com
Зайченко,Артем,Олексійович,Чоловіча,11.06.1978,Музичний редактор,хутір Рожище,"провулок Іванова Ігоря, буд. 22 кв. 91, Географія Вільнянська, 79173",084 324 49 73,dan58@example.net
Чумак,Веніямин,Олегович,Чоловіча,11.10.1979,М'ясник,село Сімферополь,"парк Радісний, буд. 9, Судак , 49963",+380 34 649 31 95,iaroslav47@example.net
Юрченко,Валентин,Олегович,Чоловіча,14.01.1988,Петрограф,місто Ананьїв,"узвіз В’ячеслава Чорновола, буд. 892 кв. 2, Чигирин, 92120",+380 23 200-34-33,nesterenkoviktor@example.com
Цюцюра,Прохір,Юрійович,Чоловіча,12.05.1967,Хореограф,хутір Буринь,"вулиця Зернова, буд. 798, Гуляйполе, 84404",+380 (07) 285-78-44,klavdiia16@example.net
Чумак,Аврелій,Анатолійович,Чоловіча,24.06.1973,Мірошник,село Сквира,"вулиця Перлинна, буд. 9 кв. 51, Довжанськ, 02160",+380 48 282-64-68,jdzyndra@example.net
Закусило,Демʼян,Вікторович,Чоловіча,18.07.1951,Гицель,селище Горішні Плавні,"проспект Путьова, буд. 548 кв. 393, Хорол , 10120",098 712-50-86,trokhym71@example.net
Супруненко,Панас,Олександрович,Чоловіча,05.07.1939,Головний меркшейдер,хутір Погребище,"вулиця Наявний 4-й, буд. 7 кв. 539, Луцьк, 04233",037 815-52-86,chervonenkopriska@example.com
Гриценко,Адам,Олександрович,Чоловіча,30.07.1947,Фермер,місто Кропивницький,"узвіз Травневий 1-й, буд. 77 кв. 547, Слов'янськ, 77229",475-46-29,fhavryshkevych@example.org
Чміль,Аврелій,Іванович,Чоловіча,29.01.1958,Соціолог,селище Бар,"площа Казанська, буд. 6, Пологи , 18297",026 631 02 87,izhuravel@example.org
Тичина,Гаврило,Іванович,Чоловіча,12.04.1971,Реабілітолог,село Моспине,"узвіз Державіна, буд. 425, Сновськ, 23688",+380 04 539-33-90,iustymdemianchuk@example.net
Базавлученко,Кирило,Вікторович,Чоловіча,27.10.1944,Палеонтолог,селище Комарно,"узвіз Дідріхсона, буд. 5 кв. 4, Новий Калинів, 56627",004 780 95 50,simashkevychsnizhana@example.com
Перепелиця,Яків,Петрович,Чоловіча,19.12.1978,Антрополог,хутір Подільськ,"сквер Цегельнозаводська, буд. 23 кв. 25, Зіньків, 96792",345 28 54,boryslavkopytko@example.com
Чалий,Охрім,Іванович,Чоловіча,01.01.2007,Актор,хутір Старокостянтинів,"набережна Зоринська, буд. 09 кв. 39, Вільногірськ, 71028",+380 59 865-28-02,vzabashta@example.com
Мазепа,Демʼян,Юрійович,Чоловіча,03.09.2002,Письменник,місто Молодогвардійськ,"провулок Кругова, буд. 7 кв. 086, Боярка, 98210",+380 (66) 018-30-84,tvertyporokh@example.com
Дейнеко,Дан,Олегович,Чоловіча,09.02.1983,Мінералог,хутір Христинівка,"сквер Трудових резервів, буд. 91, Білогірськ, 55016",+380 (20) 996-02-91,solomiia78@example.org
Ісаєвич,Григорій,Петрович,Чоловіча,27.12.1995,Літературознавець,селище Батурин,"сквер Вільгельма Габсбурга, буд. 69, Бершадь, 55092",+380 (14) 294-83-02,onysympavlychenko@example.org
Доценко,Григорій,Петрович,Чоловіча,08.11.1953,Редактор,селище Заставна,"шосе Керченська, буд. 153, Корюківка, 40918",634 54 49,syrotenkoles@example.com
Червоненко,Олександр,Петрович,Чоловіча,26.02.1967,Євнух,хутір Судова Вишня,"сквер Соляний 4-й, буд. 070 кв. 94, Карлівка, 30467",095 542 16 26,ubabiuk@example.org
Нестеренко,Мирон,Юрійович,Чоловіча,15.10.2003,Водій,село Жовква,"парк Молоді, буд. 92 кв. 9, Корюківка, 41370",067 356 61 87,tsiutsiuraviktoriia@example.com
Скиба,Арсен,Олександрович,Чоловіча,25.06.1994,Музикознавець,місто Київ,"узвіз Педагогічна, буд. 263 кв. 938, Глобине, 08890",+380 (59) 377-35-82,protsenkoihnat@example.net
Яремко,Захар,Іванович,Чоловіча,25.01.1957,Гірничий інженер,хутір Олешки,"шосе Деревообробний 2-й, буд. 3, Коломия, 21798",022 546 55 98,irvanetssvitlana@example.org
Баран,Руслан,Олексійович,Чоловіча,23.06.2008,Історик,селище Дружба ,"набережна 5-та Лінія Марії Демченко, буд. 622, Березівка, 76913",+380 88 922-50-08,matiashirena@example.org
Ємець,Макар,Олексійович,Чоловіча,25.05.1979,Драматург,селище Верхівцеве,"набережна Дунаєвського 2-й, буд. 0 кв. 7, Чорноморськ, 37629",531 60 86,kaverchenko@example.com
Товстоліс,Аврелій,Олександрович,Чоловіча,02.04.1981,Мистецтвознавець,селище Підгородне,"проспект Докова, буд. 340 кв. 4, Мирноград, 93511",+380 34 510-07-20,ezaporozhets@example.com
Харченко,Едуард,Анатолійович,Чоловіча,14.05.2001,Слідчий,селище Комарно,"площа Лиманчик 2-й Лінія 9-та, буд. 826, Білицьке, 28982",+380 (61) 480-20-72,milena27@example.org
Алексеєнко,Святослав,Юрійович,Чоловіча,01.05.1947,Редактор,село Кілія,"проспект Академіка Богатського, буд. 48, Копичинці, 34900",+380 00 988-43-51,kyrylo37@example.com
Теліженко,Віктор,Іванович,Чоловіча,23.05.1965,Соціолог,село Вишневе ,"площа Сєченова, буд. 27, Куп'янськ, 94065",034 228 11 53,rozaliia04@example.org
Дейнека,Гордій,Петрович,Чоловіча,06.06.1945,Доцент,хутір Болехів,"сквер Ланжеронівська, буд. 78, Костопіль, 71711",011 206 10 38,solomiiavasylashko@example.org
Жайворон,Дмитро,Іванович,Чоловіча,22.05.1981,Бібліограф,село Копичинці,"набережна Іспанська, буд. 76, Залізне, 74212",203-28-85,lturkalo@example.net
Гайдабура,Гліб,Іванович,Чоловіча,12.05.1940,Клоун,селище Золочів,"проспект Південна дорога, буд. 632, Ірпінь, 55033",+380 82 562-96-96,hermanrak@example.org
Засядько,Федір,Вікторович,Чоловіча,29.01.1941,Географ,селище Олевськ,"парк Новощіпний ряд, буд. 8, Полонне, 71622",062 899-51-22,stanislavadamchuk@example.org
Рябовіл,Олег,Петрович,Чоловіча,30.01.2002,Кінорежисер,хутір Васильків,"набережна Морська, буд. 208 кв. 79, Василівка , 34863",+380 91 045 83 14,kashchenkopanteleimon@example.com
Палій,Венедикт,Вікторович,Чоловіча,13.11.1958,Вчитель,село Світлодарськ,"парк Гаршина, буд. 85, Вишневе , 08673",+380 42 768-54-41,rubanmakar@example.com
Пʼятаченко,Хома,Юрійович,Чоловіча,09.07.1941,Геофізик,місто Христинівка,"парк Перша, буд. 314 кв. 055, Мелітополь, 29954",+380 31 062-26-66,svitlana82@example.net
Абрамчук,Альберт,Юрійович,Чоловіча,09.06.1972,Музичний редактор,селище Помічна,"парк Східчастий, буд. 41 кв. 910, Петрово-Красносілля, 70471",019 021 21 50,andriiakymenko@example.net
Гоголь-Яновський,Мирослав,Іванович,Чоловіча,31.03.1943,Мовознавець,селище Селидове,"узвіз Газовий, буд. 0, Енергодар, 17027",+380 52 876 74 01,ievtushenkoiaryna@example.org
Вакарчук,Гаврило,Анатолійович,Чоловіча,28.11.1939,Ґрунтознавець,місто Сокаль,"набережна Кутузова, буд. 176, Мелітополь, 57515",+380 46 684-31-49,kamillashvachko@example.org
Рябовіл,Сергій,Юрійович,Чоловіча,20.02.2003,Стропальник,місто Луганськ,"сквер Яружний, буд. 370, Жашків, 41660",+380 18 621-96-46,tymofiikanivets@example.org
Давиденко,Пантелеймон,Анатолійович,Чоловіча,27.02.1994,Гінеколог,село Зборів,"сквер Отрадна, буд. 604, Здолбунів, 38913",+380 85 048-01-56,shtokalodmytro@example.org
Власенко,Веніямин,Петрович,Чоловіча,10.06.1966,Журналіст,місто Вовчанськ,"парк Марсельська, буд. 4, Берестечко, 09237",+380 64 773-29-81,davyd62@example.com
Опанасенко,Феофан,Олегович,Чоловіча,30.05.1941,Реставратор,хутір Збараж,"парк Лінія 41-ша, буд. 94 кв. 874, Новоселиця, 19569",953 96 12,tfilipenko@example.net
Сиротенко,Азар,Юрійович,Чоловіча,23.11.1938,Гицель,місто Боково-Хрустальне,"парк Станційна 3-тя, буд. 831 кв. 46, Рудки, 09954",003 548 81 44,marusiashcherbak@example.com
Габелко,Степан,Іванович,Чоловіча,03.01.1977,Локсмайстер,село Красноград,"шосе Балтський 7-й, буд. 711, Бібрка, 44446",+380 71 495-86-06,pavlo91@example.com
Дейнеко,Тимофій,Вікторович,Чоловіча,13.11.1984,Швачка,село Надвірна,"провулок Скидановська, буд. 61 кв. 5, Виноградів, 12642",+380 90 517-23-92,vira17@example.org
Коваленко,Антон,Іванович,Чоловіча,05.03.1989,Фізик,хутір Чорнобиль,"парк Суперфосфатна, буд. 5, Тисмениця, 11807",065 400-83-07,kprytula@example.com
Дашкевич,Тимофій,Олександрович,Чоловіча,12.09.1994,Прокурор,селище Ірміно,"провулок Митна, буд. 0 кв. 622, Червоносів, 53348",+380 59 651 42 52,fedironufriienko@example.org
Ящук,Артем,Вікторович,Чоловіча,07.05.1942,Флорист,селище Іллінці,"сквер Наливна, буд. 749 кв. 436, Радехів, 32888",+380 40 343-69-23,azubko@example.com
Андрощук,Хома,Олегович,Чоловіча,20.12.1963,Кіноактор,село Світлодарськ,"проспект Омська, буд. 20 кв. 48, Бережани, 98555",+380 58 349-93-19,vernyhoraalevtyn@example.net
Михайличенко,Іван,Олегович,Чоловіча,06.06.1959,Штукатур,селище Новоселиця,"сквер Тепла, буд. 2, Біла Церква, 36249",+380 (77) 677-48-06,hhavrylyshyn@example.org
Аронець,Тарас,Іванович,Чоловіча,10.11.2006,Філолог,хутір Шахтарськ,"сквер Лінія 30-та, буд. 10 кв. 7, Новий Калинів, 53539",539 93 82,nadiiaizhakevych@example.com
Негода,Захар,Вікторович,Чоловіча,07.02.1942,Мінералог,місто Новий Калинів,"шосе Пастера, буд. 85 кв. 24, Немирів, 99847",+380 72 070-56-56,oiesypenko@example.com
Хомик,Станіслав,Юрійович,Чоловіча,14.09.1990,Педагог,місто Докучаєвськ,"площа Агрономічна, буд. 16, Скадовськ, 40292",+380 82 581 58 35,bohdanna39@example.com
Шило,Степан,Анатолійович,Чоловіча,12.02.1975,Мистецтвознавець,хутір Буринь,"узвіз Лінія 29-та, буд. 147, Новояворівськ, 91983",+380 64 981-19-64,pverkhovynets@example.net
Ільченко,Аркадій,Петрович,Чоловіча,01.07.2004,Нотаріус,місто Чорноморськ,"проспект Лейтенанта Шмідта, буд. 5, Дергачі, 07247",904-35-32,jdanylchuk@example.com
Цибуленко,Петро,Іванович,Чоловіча,07.11.2003,Громадський діяч,селище Селидове,"проспект Балтська дорога, буд. 0, Красноград, 24563",+380 78 175-56-55,chuprynasolomiia@example.org
Пʼятаченко,Зорян,Олегович,Чоловіча,16.11.1937,Музикант,селище Городенка,"парк Черепанових 2-й, буд. 6 кв. 5, Угнів, 33320",+380 52 096-44-58,albert30@example.org
Сагаль,Демʼян,Вікторович,Чоловіча,04.06.1969,Підприємець,селище Сторожинець,"проспект Парковий, буд. 88 кв. 60, Харцизьк, 01208",035 259 53 40,nbatiuk@example.com
Дубас,Миколай,Юрійович,Чоловіча,17.10.1983,Прокурор,село Болехів,"площа Палубний, буд. 3, Полонне, 48951",+380 (89) 626-21-26,kyrylenkopylyp@example.com
Бебешко,Леонід,Анатолійович,Чоловіча,05.04.1986,Кінокритик,село Камінь-Каширський,"провулок 411-ї батареї, буд. 4 кв. 7, Очаків, 12259",+380 89 993-77-28,ivankabanenko@example.org
Аверченко,Альберт,Анатолійович,Чоловіча,15.05.1960,Кінолог,селище Хрустальний,"проспект Чорноморський 8-й, буд. 23 кв. 57, Кам'янка-Бузька, 92394",+380 (93) 325-51-83,qieshchenko@example.net
Дейнека,Владислав,Вікторович,Чоловіча,28.03.1954,Геофізик,селище Зборів,"вулиця Лінія 55-та, буд. 45 кв. 692, Міусинськ, 88936",+380 81 873 24 50,martyn13@example.net
Орлик,Опанас,Анатолійович,Чоловіча,20.05.1995,Хореограф,село Козятин,"узвіз Слобідський узвіз, буд. 97, Сарни, 85097",+380 35 455-52-59,nadiia13@example.net
Годунок,Ярослав,Петрович,Чоловіча,05.04.1994,Водій,село Дружба ,"набережна Віри Фігнер, буд. 719, Ватутіне, 72028",+380 14 526-20-50,ihor39@example.net
Байда,Ростислав,Іванович,Чоловіча,04.09.1976,Випробувач,селище Володимир-Волинський,"провулок Картамишевський, буд. 89 кв. 99, Ківерці, 10592",063-19-19,zaikabohuslav@example.org
Ковалюк,Богдан,Іванович,Чоловіча,24.08.2003,Піаніст,хутір Дебальцеве,"сквер Отрада, буд. 581, Хрустальний, 87382",+380 27 781 40 65,andrii56@example.com
Валенко,Орест,Анатолійович,Чоловіча,18.06.1956,Математик,хутір Ясинувата,"узвіз Волна тупик, буд. 3, Мостиська, 11926",+380 29 188-65-81,bmykytiuk@example.com
Худобʼяк,Амвросій,Олегович,Чоловіча,27.11.1941,Електрик,селище Ромни,"парк Аеропортівський 1-й, буд. 8, Зіньків, 22177",+380 81 730-04-35,bohodar34@example.net
Павленко,Віктор,Олегович,Чоловіча,28.01.1986,М'ясник,хутір Новоазовськ,"провулок Чайковського, буд. 7 кв. 20, Липовець, 11608",+380 (92) 021-30-47,stetserika@example.net
Давимука,Олександр,Петрович,Чоловіча,20.11.1940,Клоун,селище Богуслав,"площа Юрія Олеші, буд. 93, Вільногірськ, 85389",439 16 03,zvenhrynovych@example.com
Примаченко,Семен,Олегович,Чоловіча,09.03.1992,Швачка,місто Корсунь-Шевченківський,"провулок Палубний, буд. 31, Здолбунів, 73120",+380 09 263 20 77,phodunok@example.org
Зайченко,Теодор,Юрійович,Чоловіча,20.12.1967,Патологоанатом,місто Новоселиця,"шосе Ванцетті, буд. 49 кв. 2, Новомосковськ, 87775",776-22-98,hennadiiverkhola@example.org
Деряжний,Ігор,Юрійович,Чоловіча,01.11.1990,Вчитель,хутір Молодогвардійськ,"проспект 11-та Лінія Марії Демченко, буд. 394, Бурштин , 27320",005 654-64-82,ieremenkoliza@example.org
Бабій,Валентин,Іванович,Чоловіча,25.09.1991,Доцент,село Калинівка ,"провулок Пересипська 7-ма, буд. 49 кв. 956, Алчевськ, 76148",+380 64 778-45-52,iakivshcherban@example.org
Сагаль,Альберт,Олексійович,Чоловіча,14.11.1996,Математик,місто Стрий,"вулиця 9-та Суворовська, буд. 165, Святогірськ, 69522",+380 (23) 059-05-03,leopoldmykhailiuk@example.net
Атаманюк,Євген,Юрійович,Чоловіча,27.10.1998,Мовознавець,місто Чигирин,"шосе Маршрутна, буд. 0, Олешки, 06144",954-53-97,zorian03@example.org
Данилюк,Гліб,Іванович,Чоловіча,14.04.1999,Живописець,місто Саки ,"вулиця Шевченка, буд. 095 кв. 610, Липовець, 92335",+380 27 438-29-07,fartiukh@example.com
Заруба,Амвросій,Анатолійович,Чоловіча,20.05.2007,Науковець,селище Красноград,"провулок Леваневського, буд. 8 кв. 71, Валки , 04989",+380 82 239 21 03,verhuniaryna@example.com
Іщак,Леон,Іванович,Чоловіча,19.05.1965,Водій,село Балта,"площа Мариністів, буд. 85, Прилуки, 83934",+380 65 264 66 44,mkorolenko@example.org
Перебийніс,Святослав,Олексійович,Чоловіча,15.10.1976,Машиніст,місто Часів Яр,"провулок Рачкова, буд. 9, Рівне, 82571",032 048 24 01,vhohol@example.net
Байдак,Ярема,Юрійович,Чоловіча,10.08.1987,Сантехнік,хутір Гірник ,"шосе Ярморочна площа, буд. 3 кв. 572, Ірміно, 15569",196 90 21,solomiia13@example.com
Дейнека,Мирон,Олегович,Чоловіча,07.07.1986,Інженер,місто Новогродівка,"узвіз Миколи Боровського, буд. 6 кв. 645, Первомайський , 49874",394 94 36,chornovilvalentyna@example.net
Гавриленко,Олесь,Олександрович,Чоловіча,08.03.1986,Юрист,село Вінниця,"парк Василя Кандинського 1-й, буд. 91 кв. 52, Кривий Ріг, 79685",+380 (00) 336-72-83,oiashchuk@example.com
Талан,Руслан,Анатолійович,Чоловіча,18.10.1968,Бібліотекар,хутір Долинська,"вулиця Аркадіївський, буд. 298, Новий Буг, 45854",675 84 10,pelekhbohuslava@example.com
Ґоляш,Антон,Олексійович,Чоловіча,11.02.1954,Кіноактор,селище Вознесенськ,"вулиця Лютеранський, буд. 931, Рівне, 39585",+380 54 387-43-14,onysymnosenko@example.org
Валенко,Аркадій,Анатолійович,Чоловіча,22.06.1957,Дипломат,село Олевськ,"сквер Балтський 8-й, буд. 13, Щастя , 44967",099-74-78,evlokh@example.com
Самойленко,Ілля,Юрійович,Чоловіча,13.01.1987,Фотограф,місто Соледар,"вулиця Наливна, буд. 45, Географія Вільнянська, 78762",+380 10 844-44-37,demianhaivoronskyi@example.com
Яременко,Марко,Вікторович,Чоловіча,18.04.1989,Фермер,хутір Чоп,"набережна Нафтовиків, буд. 410 кв. 071, Рівне, 87362",+380 44 122-73-50,korsunorest@example.net
Гайворонський,Руслан,Анатолійович,Чоловіча,21.09.1945,Секретар,хутір Ланівці,"провулок Тимірязєва 5-й, буд. 150, Хуст, 25130",+380 (18) 996-41-30,roberemko@example.net
Олійник,Богодар,Вікторович,Чоловіча,07.02.1971,Шериф,хутір Павлоград,"площа Італійський, буд. 2, Чорноморськ, 82590",+380 47 672 14 68,okhrimlukash@example.org
Матвієнко,Аркадій,Юрійович,Чоловіча,25.12.1962,Ювелір,місто Гуляйполе,"узвіз Промисловий, буд. 456 кв. 996, Мар'їнка, 70522",+380 30 693-40-80,azhazhasofiia@example.net
Захарченко,Василь,Юрійович,Чоловіча,13.10.1970,Паблік рилейшнз,село Баштанка,"парк Любашівський, буд. 385, Сулимівка (Слов'янськ), 05464",+380 89 699-86-87,fruban@example.org
Деряжний,Тарас,Олегович,Чоловіча,06.10.1971,Будник,село Ананьїв,"набережна Хаджибейський 1-й, буд. 383 кв. 318, Слов'янськ, 86823",004 030-49-95,havryshkevychpetro@example.org
Самойленко,Борис,Олександрович,Чоловіча,21.05.1995,Геофізик,хутір Селидове,"шосе Скидановська, буд. 57, Генічеськ, 01403",018 009-80-54,boleslav42@example.org
Петренко,Дмитро,Іванович,Чоловіча,17.07.1987,Машиніст,хутір Кипуче,"узвіз Раїси Сергієнко, буд. 41 кв. 574, Кам'янське, 41566",040 279-44-97,vhavryshkevych@example.com
Габелко,Назар,Вікторович,Чоловіча,03.03.1996,Фрілансер,селище Горішні Плавні,"узвіз Злакова, буд. 538, Тульчин, 82254",840 38 30,dubasartem@example.com
Їжак,Богуслав,Іванович,Чоловіча,23.05.1953,Дизайнер,село Сніжне,"проспект Морська, буд. 27, Павлоград, 66292",590-00-99,ilchenkomakar@example.net
Бездітко,Олекса,Анатолійович,Чоловіча,28.12.2002,Петрограф,село Антрацит ,"парк Конструкторський, буд. 78 кв. 327, Калинівка , 75235",+380 22 890 74 90,okseniia55@example.net
Ващенко,Августин,Іванович,Чоловіча,23.01.2002,Електромонтер,селище Сокиряни,"проспект Катерининська, буд. 7, Чуднів, 59310",330-85-63,bievdokymenko@example.net
Вдовенко,Климент,Юрійович,Чоловіча,12.10.1995,Географ,селище Алушта,"парк Мариністів, буд. 159 кв. 7, Міусинськ, 12700",415 10 57,boryslavdeineka@example.com
Вишиваний,Сергій,Іванович,Чоловіча,04.04.1960,Публіцист,селище Кривий Ріг,"узвіз Сирітський 2-й, буд. 18 кв. 192, Бар, 63618",+380 (23) 208-35-34,bohdannazinkevych@example.com
Данькевич,Азар,Олексійович,Чоловіча,07.03.1968,Модель,місто Біляївка,"провулок Прохоровський, буд. 23, Білогірськ, 26564",037 974 78 35,iefrem76@example.net
Штокало,Онисим,Іванович,Чоловіча,22.09.1976,Ювелір,місто Сміла,"узвіз Чорноморський 5-й, буд. 338 кв. 233, Нетішин, 04855",+380 76 359 31 10,datsiuksviatoslav@example.net
Короленко,Теодор,Олексійович,Чоловіча,05.09.1995,Психолог,місто Арциз,"вулиця Ярморочна площа, буд. 32, Хотин, 80245",085 637 37 89,iereskoiaroslav@example.org
Височан,Валерій,Вікторович,Чоловіча,14.04.1939,Філолог,хутір Чортків,"сквер Горбатий міст, буд. 2, Ворожба, 92844",+380 51 923-65-06,udemianenko@example.net
Ґоляш,Дан,Олегович,Чоловіча,22.05.1949,Піаніст,селище Лубни,"провулок Розумовський 1-й, буд. 359, Самбір, 85070",906-87-90,oleksasamoilenko@example.net
Іщенко,Йосип,Олександрович,Чоловіча,16.06.1964,Бібліотекар,місто Ладижин,"площа Східний, буд. 0 кв. 599, Біляївка, 75098",082 529 34 99,lriaboshapka@example.org
Баран,Яків,Анатолійович,Чоловіча,16.11.2004,Астрофізик,місто Кагарлик,"вулиця Мала Садова, буд. 044, Богуслав, 65123",693 35 96,dashkevychdmytro@example.org
Зайченко,Вадим,Олексійович,Чоловіча,06.06.1996,Льотчик,село Арциз,"шосе Морехідна, буд. 484, Стрий, 02025",023 66 88,stelmakhsofiia@example.net
Дараган,Хома,Юрійович,Чоловіча,01.04.1978,Хімік,село Татарбунари,"провулок Житомирський 3-й, буд. 71, Підгородне, 37011",+380 45 474 30 66,spasdziuba@example.net
Дубенко,Олександр,Анатолійович,Чоловіча,30.09.1979,Швачка,село Бунге ,"сквер Мала Садова, буд. 7, Кобеляки, 24089",+380 70 993-92-34,hermanarsenych@example.net
Андрієнко,Богуслав,Анатолійович,Чоловіча,22.05.1963,Золотар,село Світловодськ,"вулиця Алмазна, буд. 41, Андрушівка, 70132",271 40 04,oleksatereshchuk@example.org
Хмара,Болеслав,Петрович,Чоловіча,10.08.2001,Лікар,село Новодністровськ,"проспект Абрикосова, буд. 5 кв. 49, Корець, 30025",053 655-08-43,dopanasenko@example.org
Алексюк,Стефан,Іванович,Чоловіча,28.08.1963,Режисер,село Острог,"парк Куликове поле, буд. 906, Суходільськ, 08420",+380 (33) 970-11-34,xartiushenko@example.net
Шовкопляс,Костянтин,Вікторович,Чоловіча,15.07.2002,Штукатур,селище Білозерське,"площа Рибальський, буд. 81, Ворожба, 56397",+380 49 811-12-15,irenavasylevych@example.com
Калениченко,Климент,Анатолійович,Чоловіча,19.09.2004,Золотар,селище Тараща,"парк Курганська, буд. 31 кв. 55, Хрестівка, 33828",+380 96 214-73-50,ykomar@example.com
Алексюк,Валентин,Іванович,Чоловіча,10.05.2005,Мірошник,місто Корюківка,"вулиця Центральний аеропорт, буд. 7 кв. 10, Бурштин , 59641",298 53 35,qiaremko@example.org
Олійник,Марко,Вікторович,Чоловіча,31.05.1999,Мовознавець,хутір Бахмут,"парк Олександра Невського 3-й, буд. 76 кв. 502, Миколаївка , 85383",070-77-97,borys67@example.net
Смик,Ростислав,Олексійович,Чоловіча,05.10.1954,Мікробіолог,село Дубровиця,"проспект Ушинського, буд. 683, Чугуїв, 10676",067 909-90-60,ivanenkoiaryna@example.org
Зубко,Соломон,Юрійович,Чоловіча,05.01.2002,Геофізик,місто Коломия,"проспект Регенсбург, буд. 35 кв. 620, Ромни, 88284",455 73 48,vduplii@example.org
Тичина,Роман,Олексійович,Чоловіча,21.10.1977,Філолог,селище Знам'янка,"набережна Металістів, буд. 59 кв. 092, Кролевець, 13433",040 898-88-04,ukhudobiak@example.com
Якимчук,Микита,Юрійович,Чоловіча,24.04.1973,Фізик,село Деражня,"сквер Черешнева, буд. 4 кв. 9, Сарни, 44424",+380 47 235-39-60,khomenkonazar@example.net
Андрійчук,Аркадій,Олегович,Чоловіча,18.05.1969,Фармацевт,селище Жовква,"узвіз Висоцького, буд. 2, Севастополь, 14260",+380 87 183-17-91,danylchukhlib@example.net
